Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
583,Spoofing the Motion Sensors Process,Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Motion Sensors may be spoofed by an attacker and this may lead to information disclosure by Emergency monitor, response and alert controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
584,Potential Lack of Input Validation for Motion Sensors,Tampering,Safety and Emergency System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Motion Sensors or an elevation of privilege attack against Motion Sensors or an information disclosure by Motion Sensors. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
585,"Emergency monitor, response and alert controller Process Memory Tampered",Tampering,Safety and Emergency System,Optimal Process Command,High,Not Started,,"If Emergency monitor, response and alert controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Motion Sensors executes (for example, passing back a function pointer.), then Emergency monitor, response and alert controller can tamper with Motion Sensors. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
1172,Data Flow Version Control Is Potentially Interrupted,Denial Of Service,MASS,Version Control,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
1171,Potential Process Crash or Stop for Cargo Management System,Denial Of Service,MASS,Version Control,High,Not Started,,"Cargo Management System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
588,Potential Data Repudiation by Motion Sensors,Repudiation,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Motion Sensors claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
589,Data Flow Sniffing,Information Disclosure,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
1183,Elevation Using Impersonation,Elevation Of Privilege,MASS,Version Control,High,Not Started,,Safety and Emergency System may be able to impersonate the context of Patch Manager in order to gain additional privilege.,,Generated
591,Potential Process Crash or Stop for Motion Sensors,Denial Of Service,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Motion Sensors crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
592,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Safety and Emergency System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
593,Elevation Using Impersonation,Elevation Of Privilege,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Motion Sensors may be able to impersonate the context of Emergency monitor, response and alert controller in order to gain additional privilege.",,Generated
